id,name,age,email,salary
1,John,28,john@gmail.com,50000
2,Jane,30,jane@gmail.com,60000
3,Bob,35,bob@gmail.com,55000
4,Alice,29,alice@gmail.com,62000
5,Tom,35,tom@gmail.com,70000
6,Sam,,sam@gmail.com,48000
7,Chris,27,chris@gmail.com,52000
8,Nancy,31,nancy@gmail.com,72000
9,Steve,45,steve@gmail.com,80000
10,Elon,50,elon@gmail.com,90000
11,Mark,38,mark@gmail.com,85000
12,Jeff,58,jeff@gmail.com,
13,Bill,67,bill@gmail.com,95000
14,Larry,49,larry@gmail.com,88000
15,Sergey,48,sergey@gmail.com,87000
16,Tim,60,tim@gmail.com,83000
17,Sundar,51,sundar@gmail.com,91000
18,Satya,55,satya@gmail.com,92000
19,Sheryl,53,sheryl@gmail.com,87000
20,Jack,57,jack@gmail.com,86000
21,Rahul,27,rahul@gmail.com,45000
22,Priya,29,priya@gmail.com,47000
23,Amit,31,amit@gmail.com,50000
24,Sneha,28,sneha@gmail.com,48000
25,Vikram,33,,52000
26,Neha,34,neha@gmail.com,51000
27,Arjun,36,arjun@gmail.com,53000
28,Kiran,40,kiran@gmail.com,55000
29,Ravi,34,ravi@gmail.com,60000
30,Anita,26,anita@gmail.com,49000
